brand,name,price_pln,cpu,gpu,ram,storage,psu,url,image_url
Hard-PC.pl,"Zestaw | Ryzen 7 5700X, RX 9060 XT 16GB, 16GB DDR4, 500GB SSD, 650W, Exo ARGB",5029.0,Ryzen 7 5700X,RX 9060 XT 16GB,16GB DDR4,500GB SSD,650W,"https://sklep.hard-pc.pl/p20264,zestaw-ryzen-7-5700x-rx-9060-xt-16gb-16gb-ddr4-500gb-ssd-650w-exo-argb.html",https://sklep.hard-pc.pl/galerie/73/8/obudowa-krux-exo-argb-black_73874_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 9500F, RTX 5060 8GB, 16GB DDR5, 500GB SSD, 650W, Hunter 2",5049.0,Ryzen 5 9500F,RTX 5060 8GB,16GB DDR5,500GB SSD,650W,"https://sklep.hard-pc.pl/p22785,zestaw-ryzen-5-9500f-rtx-5060-8gb-16gb-ddr5-500gb-ssd-650w-hunter-2.html",https://sklep.hard-pc.pl/galerie/81/7/zestaw-ryzen-5-7500f-rx-9060_81708_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 7 5800X, RTX 5050 8GB, 32GB DDR4, 1TB SSD, 600W, Signum 300 ARGB",5059.0,Ryzen 7 5800X,RTX 5050 8GB,32GB DDR4,1TB SSD,600W,"https://sklep.hard-pc.pl/p25259,zestaw-ryzen-7-5800x-rtx-5050-8gb-32gb-ddr4-1tb-ssd-600w-signum-300-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 5600, RTX 5060 8GB, 32GB DDR4, 1TB SSD, 600W, Solid 300",5069.0,Ryzen 5 5600,RTX 5060 8GB,32GB DDR4,1TB SSD,600W,"https://sklep.hard-pc.pl/p20759,zestaw-ryzen-5-5600-rtx-5060-8gb-32gb-ddr4-1tb-ssd-600w-solid-300.html",https://sklep.hard-pc.pl/galerie/31/5/obudowa-silentiumpc-signum-sg_31505_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 5600, RX 9060 XT 8GB, 32GB DDR4, 1TB SSD, 650W, Signum 300 ARGB",5079.0,Ryzen 5 5600,RX 9060 XT 8GB,32GB DDR4,1TB SSD,650W,"https://sklep.hard-pc.pl/p22797,zestaw-ryzen-5-5600-rx-9060-xt-8gb-32gb-ddr4-1tb-ssd-650w-signum-300-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 7500F, RTX 5050 8GB, 16GB DDR5, 1TB SSD, 650W, Hunter 2",5099.0,Ryzen 5 7500F,RTX 5050 8GB,16GB DDR5,1TB SSD,650W,"https://sklep.hard-pc.pl/p25239,zestaw-ryzen-5-7500f-rtx-5050-8gb-16gb-ddr5-1tb-ssd-650w-hunter-2.html",https://sklep.hard-pc.pl/galerie/81/7/zestaw-ryzen-5-7500f-rx-9060_81708_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 7500F, RTX 5060 8GB, 16GB DDR5, 500GB SSD, 650W, Atron",5099.0,Ryzen 5 7500F,RTX 5060 8GB,16GB DDR5,500GB SSD,650W,"https://sklep.hard-pc.pl/p25206,zestaw-ryzen-5-7500f-rtx-5060-8gb-16gb-ddr5-500gb-ssd-650w-atron.html",https://sklep.hard-pc.pl/galerie/87/0/zestaw-ryzen-5-7500f-rtx-5060_87076_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 7 5700X, RTX 5060 8GB, 32GB DDR4, 1TB SSD, 600W, Signum 300 ARGB",5129.0,Ryzen 7 5700X,RTX 5060 8GB,32GB DDR4,1TB SSD,600W,"https://sklep.hard-pc.pl/p20457,zestaw-ryzen-7-5700x-rtx-5060-8gb-32gb-ddr4-1tb-ssd-600w-signum-300-argb.html",https://sklep.hard-pc.pl/galerie/50/8/obudowa-endorfy-signum-300-ar_50864_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 7 5700X, RTX 5060 Ti 8GB, 16GB DDR4, 1TB SSD, 700W, Night Hunter",5129.0,Ryzen 7 5700X,RTX 5060 Ti 8GB,16GB DDR4,1TB SSD,700W,"https://sklep.hard-pc.pl/p25417,zestaw-ryzen-7-5700x-rtx-5060-ti-8gb-16gb-ddr4-1tb-ssd-700w-night-hunter.html",https://sklep.hard-pc.pl/galerie/76/7/zestaw-ryzen-7-7700-rx-9070-1_76729_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 5600, RX 9060 XT 16GB, 16GB DDR4, 500GB SSD, 650W, Exo ARGB",5139.0,Ryzen 5 5600,RX 9060 XT 16GB,16GB DDR4,500GB SSD,650W,"https://sklep.hard-pc.pl/p20263,zestaw-ryzen-5-5600-rx-9060-xt-16gb-16gb-ddr4-500gb-ssd-650w-exo-argb.html",https://sklep.hard-pc.pl/galerie/73/8/obudowa-krux-exo-argb-black_73874_k.jpg
Hard-PC.pl,"Zestaw | Ryzen 5 8400F, RTX 5060 8GB, 16GB DDR5, 500GB SSD, 750W, Signum M30",5149.0,Ryzen 5 8400F,RTX 5060 8GB,16GB DDR5,500GB SSD,750W,"https://sklep.hard-pc.pl/p26012,zestaw-ryzen-5-8400f-rtx-5060-8gb-16gb-ddr5-500gb-ssd-750w-signum-m30.html",https://sklep.hard-pc.pl/galerie/82/0/obudowa-endorfy-signum-m30-ar_82018_k.jpg
